File,No of assertions
test_functions.py,0
test_go_benchmark_functions.py,0
test_docscrape.py,4
test_full.py,0
test_main.py,0
test_numpydoc.py,0
test_validate.py,0
test_xref.py,0
test_disjoint_set.py,3
test_hierarchy.py,144
test_vq.py,32
test_codata.py,10
test_constants.py,14
test_backend.py,7
test_fftlog.py,6
test_fft_function.py,2
test_helper.py,36
test_multithreading.py,2
test_numpy.py,69
test_real_transforms.py,18
test_basic.py,144
test_real_transforms.py,32
test_basic.py,128
test_helper.py,13
test_import.py,1
test_pseudo_diffs.py,79
test_real_transforms.py,37
test_banded_ode_solvers.py,4
test_bvp.py,95
test_integrate.py,58
test_odeint_jac.py,2
test_quadpack.py,39
test_quadrature.py,46
test__quad_vec.py,18
test_ivp.py,248
test_rk.py,5
test_bsplines.py,218
test_fitpack.py,37
test_fitpack2.py,162
test_gil.py,1
test_interpnd.py,19
test_interpolate.py,437
test_ndgriddata.py,24
test_pade.py,34
test_polyint.py,107
test_rbf.py,15
test_rbfinterp.py,15
test_regression.py,1
test_arffread.py,68
test_byteordercodes.py,10
test_mio.py,153
test_mio5_utils.py,14
test_miobase.py,14
test_mio_funcs.py,0
test_mio_utils.py,8
test_pathological.py,2
test_streams.py,41
test_fortran.py,18
test_idl.py,153
test_mmio.py,29
test_netcdf.py,59
test_paths.py,0
test_wavfile.py,65
test_fortran_format.py,6
test_hb.py,6
test_basic.py,209
test_blas.py,195
test_cythonized_array_utils.py,0
test_cython_blas.py,38
test_cython_lapack.py,2
test_decomp.py,531
test_decomp_cholesky.py,27
test_decomp_cossin.py,13
test_decomp_ldl.py,17
test_decomp_polar.py,16
test_decomp_update.py,172
test_fblas.py,38
test_interpolative.py,23
test_lapack.py,308
test_matfuncs.py,102
test_matmul_toeplitz.py,4
test_misc.py,0
test_procrustes.py,17
test_sketches.py,5
test_solvers.py,31
test_solve_toeplitz.py,11
test_special_matrices.py,102
test_common.py,5
test_doccer.py,14
test_c_api.py,3
test_datatypes.py,9
test_filters.py,281
test_fourier.py,12
test_interpolation.py,121
test_measurements.py,168
test_morphology.py,162
test_splines.py,2
test_odr.py,32
test_cobyla.py,16
test_constraints.py,31
test_constraint_conversion.py,17
test_cython_optimize.py,8
test_differentiable_functions.py,279
test_hessian_update_strategy.py,5
test_lbfgsb_hessinv.py,4
test_lbfgsb_setulb.py,0
test_least_squares.py,133
test_linear_assignment.py,5
test_linesearch.py,38
test_linprog.py,98
test_lsq_common.py,84
test_lsq_linear.py,26
test_minimize_constrained.py,23
test_minpack.py,97
test_nnls.py,3
test_nonlin.py,37
test_optimize.py,178
test_quadratic_assignment.py,32
test_regression.py,3
test_slsqp.py,88
test_tnc.py,22
test_trustregion.py,17
test_trustregion_exact.py,22
test_trustregion_krylov.py,22
test_zeros.py,60
test__basinhopping.py,45
test__differential_evolution.py,191
test__dual_annealing.py,27
test__linprog_clean_inputs.py,104
test__numdiff.py,106
test__remove_redundancy.py,44
test__root.py,4
test__shgo.py,24
test__spectral.py,15
test_canonical_constraint.py,59
test_projections.py,22
test_qp_subproblem.py,127
test_report.py,0
test_array_tools.py,20
test_bsplines.py,22
test_cont2discrete.py,68
test_czt.py,22
test_dltisys.py,108
test_filter_design.py,650
test_fir_filter_design.py,115
test_ltisys.py,258
test_max_len_seq.py,10
test_peak_finding.py,128
test_result_type.py,10
test_savitzky_golay.py,43
test_signaltools.py,564
test_spectral.py,282
test_upfirdn.py,16
test_waveforms.py,41
test_wavelets.py,33
test_windows.py,137
test_connected_components.py,14
test_conversions.py,5
test_flow.py,11
test_graph_laplacian.py,6
test_matching.py,22
test_reordering.py,7
test_shortest_path.py,22
test_spanning_tree.py,5
test_traversal.py,4
test_expm_multiply.py,20
test_interface.py,117
test_matfuncs.py,52
test_norm.py,43
test_onenormest.py,22
test_propack.py,11
test_pydata_sparse.py,26
test_linsolve.py,80
test_arpack.py,34
test_lobpcg.py,22
test_svds.py,54
test_gcrotmk.py,24
test_iterative.py,61
test_lgmres.py,29
test_lsmr.py,4
test_lsqr.py,10
test_minres.py,9
test_utils.py,1
test_array_api.py,15
test_base.py,992
test_construct.py,96
test_csc.py,4
test_csr.py,6
test_extract.py,3
test_matrix_io.py,8
test_sparsetools.py,18
test_spfuncs.py,11
test_sputils.py,62
test_distance.py,292
test_hausdorff.py,11
test_kdtree.py,169
test_qhull.py,104
test_slerp.py,9
test_spherical_voronoi.py,26
test__plotutils.py,4
test__procrustes.py,13
test_rotation.py,168
test_rotation_groups.py,2
test_rotation_spline.py,20
test_basic.py,810
test_bdtr.py,12
test_boxcox.py,17
test_cdflib.py,4
test_cdft_asymptotic.py,6
test_cosine_distr.py,2
test_cython_special.py,1
test_data.py,0
test_digamma.py,2
test_ellip_harm.py,11
test_erfinv.py,5
test_exponential_integrals.py,7
test_faddeeva.py,2
test_gamma.py,0
test_gammainc.py,6
test_hyp2f1.py,10
test_hypergeometric.py,6
test_kolmogorov.py,7
test_lambertw.py,12
test_loggamma.py,4
test_logit.py,13
test_logsumexp.py,42
test_log_softmax.py,8
test_mpmath.py,167
test_nan_inputs.py,2
test_ndtr.py,3
test_ndtri_exp.py,4
test_orthogonal.py,168
test_orthogonal_eval.py,4
test_owens_t.py,16
test_pcf.py,2
test_pdtr.py,8
test_precompute_expn_asy.py,1
test_precompute_gammainc.py,3
test_precompute_utils.py,0
test_round.py,0
test_sf_error.py,15
test_sici.py,0
test_spence.py,0
test_spfun_stats.py,5
test_spherical_bessel.py,44
test_sph_harm.py,1
test_trig.py,6
test_wrightomega.py,13
test_wright_bessel.py,5
test_zeta.py,7
test_axis_nan_policy.py,15
test_binned_statistic.py,97
test_bootstrap.py,24
test_contingency.py,38
test_continuous_basic.py,69
test_crosstab.py,18
test_discrete_basic.py,16
test_discrete_distns.py,54
test_distributions.py,1023
test_entropy.py,31
test_fit.py,2
test_hypotests.py,242
test_kdeoth.py,51
test_morestats.py,410
test_mstats_basic.py,353
test_mstats_extras.py,25
test_multivariate.py,316
test_qmc.py,87
test_rank.py,30
test_relative_risk.py,12
test_sampling.py,23
test_stats.py,1333
test_tukeylambda_stats.py,14
test_variation.py,18
test_scipy_version.py,1
test_bunch.py,35
test_ccallback.py,12
test_deprecation.py,0
test_import_cycles.py,0
test_public_api.py,0
test_tmpdirs.py,10
test_warnings.py,0
test__gcutils.py,14
test__pep440.py,1
test__testutils.py,0
test__threadsafety.py,4
test__util.py,28
Total number of test.py files : 287